date,Naha,Kagoshima,Hukuoka,Hiroshima,Osaka,Nagoya,Tokyo,Akita,Morioka,Sapporo
1945/12/1,,,7.3,,,3.5,,0.5,-2.1,-4.1
1946/1/1,16.1,,5.6,,,2.7,,-0.8,-3,-5.3
1946/2/1,16.3,,6.1,,,3.5,,-0.5,-2.1,-5.2
1946/3/1,18.9,,8.2,,,6.2,,0.9,-0.8,-2.8
1946/4/1,21.3,,14.5,,,14.1,,8.2,7.9,6.1
1946/5/1,23.8,,17.5,,,17.1,,12.7,12.5,10.1
1946/6/1,26.5,,23.3,,,22.3,,19.8,19.7,18.1
1946/7/1,27.6,,26.8,,,27.2,,23.9,22.8,21.4
1946/8/1,27.6,,26.8,,,26.3,,25.5,24.6,24.2
1946/9/1,27.7,,23.1,,,22.5,,18.6,17.4,17.2
1946/10/1,23.9,,17,,,17,,13.8,12.4,11.7
1946/11/1,21.1,,13.4,,,12.6,,8.5,7.2,5.2
1946/12/1,16.8,,6.7,,,4,,0.9,-1.1,-2.8
1947/1/1,16.5,,6.2,,,3.4,,-1.2,-2.5,-4.4
1947/2/1,13.2,,3.2,,,1.3,,-2,-4.1,-5.2
1947/3/1,16.1,,7.9,,,5.4,,1.2,-0.2,-1.4
1947/4/1,18.6,,13.1,,,12.3,,7.4,6.7,5.9
1947/5/1,21.9,,16.3,,,16.8,,12.5,12.7,11.3
1947/6/1,24.8,,19.9,,,20.6,,17,15,14.5
1947/7/1,27.4,,26.5,,,26.2,,22.4,22.3,20.4
1947/8/1,27.7,,27.4,,,28.1,,23.8,23.2,21.1
1947/9/1,27.1,,23.4,,,23.4,,18.8,17.2,15.9
1947/10/1,22.9,,15.7,,,15.2,,12.1,10.2,9.6
1947/11/1,20.3,,10.4,,,9.3,,6.2,4.2,2.4
1947/12/1,16.6,,6,,,3.5,,-1,-2.8,-4.4
1948/1/1,14.6,,5.2,,,2.9,,0.8,-0.8,-2.4
1948/2/1,16.4,,6.5,,,3.9,,-0.9,-2,-4.1
1948/3/1,17.8,,8.7,,,6.5,,2,1.5,-0.4
1948/4/1,20.1,,14.6,,,13.9,,9.7,9.4,8
1948/5/1,23.1,,17.6,,,17.8,,14.7,14.8,13.5
1948/6/1,25.3,,22,,,21.9,,19,18.4,16.4
1948/7/1,28.3,,26,,,26.5,,24.1,22.8,21.8
1948/8/1,27.9,,26.2,,,26.4,,24.9,23.6,23.7
1948/9/1,27.7,,23.2,,,22.9,,19.2,18.3,17.1
1948/10/1,23.4,,18.4,,,17.3,,13.1,11.9,10.5
1948/11/1,20.7,,12.2,,,11.3,,6.8,5.3,3.5
1948/12/1,19.7,,10.6,,,7.8,,3.8,2.2,-0.2
1949/1/1,14.9,,5.8,,,4.7,,2.2,0.5,-1.9
1949/2/1,16.2,,7.2,,,5.8,,2.3,1.3,-1.4
1949/3/1,17.9,,8,,,5.6,,0.8,-0.1,-2.1
1949/4/1,19.2,,12.5,,,10.6,,7.1,6,4.2
1949/5/1,23.9,,18.5,,,17.7,,14.7,14.5,13.1
1949/6/1,24.9,,20,,,20.8,,18.1,16.5,15.2
1949/7/1,27.8,,24.6,,,25.3,,22.1,21.2,20.4
1949/8/1,26.9,,26.4,,,26.8,,25,24.4,23.5
1949/9/1,26.9,,23.3,,,22.7,,19.2,17.9,17.7
1949/10/1,24.3,,16.1,,,15.7,,13.4,11.3,10.7
1949/11/1,21.2,,11.9,,,10.4,,5.7,4,2.8
1949/12/1,18.6,,7.8,,,6.3,,1.5,0.1,-3.6
1950/1/1,17.1,,7.5,,,4.6,,-0.5,-2,-4.8
1950/2/1,16.7,,6.6,,,4.2,,0,-1.7,-3.1
1950/3/1,17.9,,8.9,,,7.1,,3,1.6,-0.4
1950/4/1,20.3,,13.8,,,14.2,,9.4,8.6,6.8
1950/5/1,23.2,,18.4,,,19,,15,15,12.5
1950/6/1,25.1,,21.3,,,21.7,,19,17.5,16.4
1950/7/1,27.8,,26.7,,,25.9,,24,23.7,22.8
1950/8/1,27.8,,26.5,,,26.7,,25.9,24.8,24
1950/9/1,26.9,,23.2,,,22.9,,21.2,20,17.1
1950/10/1,24.6,,17.3,,,16,,11.4,10.1,8.3
1950/11/1,20.9,,12.7,,,11.3,,7.4,6.3,3.7
1950/12/1,16.3,,6.4,,,4.9,,1.7,-0.3,-2.9
1951/1/1,,,4.7,,,3.2,,-2.4,-4.1,-6.3
1951/2/1,,,7,,,4.4,,-0.2,-1.9,-5
1951/3/1,,,8.1,,,7.4,,2.4,1.2,-1.2
1951/4/1,20.7,,13,,,12.4,,8,7.5,5.8
1951/5/1,22.8,,18.2,,,17.5,,13.3,14.2,12.2
